,Name,pr_75,Rank
14305,jesus mary,5.208706433468659e-05,1.0
22707,george ii warren,5.14123855658236e-05,2.0
27457,james hughes,4.803899172150864e-05,3.0
3887,rogers father kelly,4.653131210957506e-05,5.0
30802,mc carthy,4.653131210957506e-05,5.0
19183,father edwards,4.653131210957506e-05,5.0
12717,bernard orourke,4.601663151405721e-05,7.0
25564,marcus braun,4.557542722892135e-05,8.5
34694,morris cukor,4.557542722892135e-05,8.5
12362,john howard,4.519112775791357e-05,10.0
6831,john orr,4.429159042867689e-05,11.5
23698,john cullen,4.429159042867689e-05,11.5
30245,sam says ho will medi,3.960550711072125e-05,14.0
9213,mrs annie rosenthal,3.960550711072125e-05,14.0
30641,christian clausen,3.960550711072125e-05,14.0
5450,joseph kennedy,3.960550711072124e-05,16.0
20517,henry schenck,3.864168029805984e-05,17.0
136,george allen,3.8400723594894484e-05,18.0
12506,viii keglnnlnx,3.834346999656446e-05,20.0
18111,york iii,3.834346999656446e-05,20.0
15577,asvisnient reid,3.834346999656446e-05,20.0
29993,cheney jr thomas p fowler w l hull george a dickerson,3.7642871339518106e-05,23.0
11334,ej dewland,3.7642871339518106e-05,23.0
4625,john ii doyle,3.7642871339518106e-05,23.0
20755,johnny simpson,3.707212833435827e-05,25.0
19804,gilt top,3.6905130264902645e-05,26.0
21838,frank taylor,3.643379749663285e-05,29.5
22963,forbes winslow,3.643379749663285e-05,29.5
8126,lionel musgrave tarto,3.643379749663285e-05,29.5
30432,prince of wale,3.643379749663285e-05,29.5
33546,singleton abbey,3.643379749663285e-05,29.5
17079,hussey vivian,3.643379749663285e-05,29.5
30569,myrna cornu,3.623211326640629e-05,34.0
10017,john caulfield,3.623211326640629e-05,34.0
9814,charles hall attorneygeneral,3.623211326640629e-05,34.0
33426,bishop conroy,3.585844224029291e-05,36.0
2638,mme wagner,3.5052831403813256e-05,37.0
4724,mrs youmans,3.490015829911593e-05,38.5
5658,van alstyne,3.490015829911593e-05,38.5
7311,enoch davis,3.473973018624042e-05,41.5
12570,lot nio iii,3.473973018624042e-05,41.5
3379,higham young,3.473973018624042e-05,41.5
10377,itano hclllngj,3.473973018624042e-05,41.5
13797,patrick henry,3.3892680116697464e-05,44.5
26349,james madison,3.3892680116697464e-05,44.5
29651,j flaherty,3.3702140595208195e-05,46.0
25609,phil casey,3.370214059520819e-05,47.0
720,fred then i,3.324983880901401e-05,49.5
19888,fred mr,3.324983880901401e-05,49.5
23298,fred ill,3.324983880901401e-05,49.5
15655,solomon stein,3.324983880901401e-05,49.5
29192,jane abbott,3.324216980142729e-05,53.0
7879,boop ho,3.324216980142729e-05,53.0
25327,ho dally,3.324216980142729e-05,53.0
900,lennon father j j pe,3.2915782909649985e-05,58.5
12337,mcquade blthcp conroy buhontlerney blshopdabrlel,3.2915782909649985e-05,58.5
31944,j mc mahon,3.2915782909649985e-05,58.5
18709,farley abbot,3.2915782909649985e-05,58.5
25599,bishop gabriel,3.2915782909649985e-05,58.5
19827,vlcarueneral farley,3.2915782909649985e-05,58.5
12198,j h mitchell,3.2915782909649985e-05,58.5
23802,mc donnell,3.2915782909649985e-05,58.5
23450,peter acker,3.249449903144514e-05,65.5
3657,ana kent,3.249449903144514e-05,65.5
30681,hull tu brooklyn michael j flrmlnc,3.249449903144514e-05,65.5
34713,mary itceauc kotlar,3.249449903144514e-05,65.5
4068,charles kent,3.249449903144514e-05,65.5
28040,benjamin greene,3.249449903144514e-05,65.5
6085,denby picken,3.240140999267217e-05,71.5
23249,haughton ul mott,3.240140999267217e-05,71.5
30547,nathan strauss,3.240140999267217e-05,71.5
12208,icanwhlo orel bruton,3.240140999267217e-05,71.5
15747,itloodlen victoria,3.240140999267217e-05,71.5
21968,hu nicholls,3.240140999267217e-05,71.5
25558,int j n van allen,3.239576343225229e-05,76.5
27553,lieut mctfhaney,3.239576343225229e-05,76.5
6500,barnes annie mahoney,3.239576343225229e-05,76.5
24956,william hogan arnold dickson,3.239576343225229e-05,76.5
19251,iljin mckeo,3.239576343225228e-05,80.5
28502,john t masterson,3.239576343225228e-05,80.5
12131,john carl,3.239576343225228e-05,80.5
4399,andrew r win,3.239576343225228e-05,80.5
29163,james wilson,3.237873993225089e-05,86.0
28510,john lyons,3.237873993225089e-05,86.0
9514,john ui ian,3.237873993225089e-05,86.0
29330,nr ellis,3.237873993225089e-05,86.0
29131,ifortfa allen,3.237873993225089e-05,86.0
31678,henry oliver,3.237873993225089e-05,86.0
2509,william tracy,3.237873993225089e-05,86.0
13624,marshall edmund itnndolph,3.223380933781301e-05,95.0
13081,elliot de,3.223380933781301e-05,95.0
7223,oliver einnorth,3.223380933781301e-05,95.0
8309,oliver kllsttorth ed mind itandolnh james madison jlm john mar,3.223380933781301e-05,95.0
25150,oliver walcott,3.223380933781301e-05,95.0
22394,john stuart mill,3.223380933781301e-05,95.0
26942,james monroe,3.223380933781301e-05,95.0
13968,william i oo bartlett,3.223380933781301e-05,95.0
11676,george mason,3.223380933781301e-05,95.0
7263,george nicholas george mason,3.223380933781301e-05,95.0
3896,james malum,3.223380933781301e-05,95.0
