,Name,pr_90,Rank
17850,john j tucker,7.265951301690102e-05,1.0
16744,george h warren,6.257551147395735e-05,2.0
22707,george ii warren,5.822553449550652e-05,3.0
16956,judicial mitrich,5.724988095250975e-05,4.0
30622,paul kumar,5.635784303007612e-05,5.0
12842,lillian russell,5.6182320357983216e-05,6.0
1447,john duncan,5.6026527563223706e-05,7.0
10724,golden rod,5.5883807054425805e-05,8.0
18660,james mccutcheon,5.5811263823361925e-05,9.0
26698,knickerbocker meyer,5.5022541300034766e-05,10.0
16989,iii montague,5.498581953880358e-05,11.0
23498,mr elliott schenck,5.4781364379138614e-05,12.0
13631,john guild,5.419020308876709e-05,13.0
30840,marie antoinette,5.404739689623786e-05,14.0
1531,iii cent,5.357607090921488e-05,15.0
14305,jesus mary,5.2548719147537126e-05,16.0
25564,marcus braun,4.598552097942714e-05,17.5
34694,morris cukor,4.598552097942714e-05,17.5
6831,john orr,4.469662014627384e-05,19.5
23698,john cullen,4.469662014627384e-05,19.5
14488,james king com iii iii,4.316089684760797e-05,22.0
20536,lien york,4.316089684760797e-05,22.0
26006,duane john j tucker franklin scott,4.316089684760797e-05,22.0
30404,raw york,4.316089684760796e-05,24.0
11241,duane john,4.3112316687869284e-05,25.0
7759,warren unit,4.253893302827556e-05,27.0
15006,patti kiuiutarv,4.253893302827556e-05,27.0
18735,john j tucker kranclcmrott,4.253893302827556e-05,27.0
31680,marie jansen,4.1422767711979685e-05,29.0
3498,wilson barrett,4.021856222879575e-05,30.0
5450,joseph kennedy,4.006716192357179e-05,31.0
30245,sam says ho will medi,4.0067161923571774e-05,32.5
9213,mrs annie rosenthal,4.0067161923571774e-05,32.5
20517,henry schenck,3.910333511091037e-05,34.0
136,george allen,3.886237840774502e-05,35.0
33426,bishop conroy,3.8492911462891466e-05,36.0
9814,charles hall attorneygeneral,3.669376807925684e-05,38.0
18958,nathan strains,3.669376807925684e-05,38.0
30569,myrna cornu,3.669376807925684e-05,38.0
25898,capt hankey,3.6527561385361765e-05,40.0
19804,gilt top,3.651225192429753e-05,41.0
16111,george green,3.593116748319229e-05,42.0
23037,william lehmann,3.532118192017854e-05,43.0
23004,j u johnson,3.49929943273573e-05,44.0
28529,rufus jr,3.491708408460447e-05,45.0
19219,john jacob,3.462910152390812e-05,46.0
34309,john maiden,3.408728495353229e-05,47.0
34305,clayton cape vincent,3.354300815571464e-05,48.0
9475,levow ort,3.354269629445049e-05,49.5
33227,char c beaman,3.354269629445049e-05,49.5
35593,joseph larocqnewas,3.354269629445048e-05,51.0
26470,capt martens,3.343964813441499e-05,53.0
17039,charley grant,3.343964813441499e-05,53.0
20131,schmitt berger,3.343964813441499e-05,53.0
6403,nos lo snell,3.312806366148334e-05,57.0
17421,orta jones,3.312806366148334e-05,57.0
28504,wayne alberni,3.312806366148334e-05,57.0
26740,kim sims,3.312806366148334e-05,57.0
32,mayer alderman,3.312806366148334e-05,57.0
3657,ana kent,3.275819619422209e-05,62.5
4068,charles kent,3.275819619422209e-05,62.5
30681,hull tu brooklyn michael j flrmlnc,3.275819619422209e-05,62.5
34713,mary itceauc kotlar,3.275819619422209e-05,62.5
23450,peter acker,3.275819619422209e-05,62.5
28040,benjamin greene,3.275819619422209e-05,62.5
24928,henry m humphrey,3.268339965968929e-05,67.5
1844,henry 3 maccracken mrs charles l,3.268339965968929e-05,67.5
23775,henry c potter,3.268339965968929e-05,67.5
21254,alton wi,3.268339965968929e-05,67.5
15747,itloodlen victoria,3.265359798974717e-05,72.5
11354,james haughton ul mott,3.265359798974717e-05,72.5
12208,icanwhlo orel bruton,3.265359798974717e-05,72.5
21968,hu nicholls,3.265359798974717e-05,72.5
6085,denby picken,3.265359798974717e-05,72.5
23249,haughton ul mott,3.265359798974717e-05,72.5
9514,john ui ian,3.2643588011598044e-05,79.0
28510,john lyons,3.2643588011598044e-05,79.0
29330,nr ellis,3.2643588011598044e-05,79.0
29163,james wilson,3.2643588011598044e-05,79.0
29131,ifortfa allen,3.2643588011598044e-05,79.0
2509,william tracy,3.2643588011598044e-05,79.0
31678,henry oliver,3.2643588011598044e-05,79.0
27260,jotoni janrain ira,3.25653907680491e-05,94.5
3344,ruth knut imiiih,3.25653907680491e-05,94.5
14898,tom inlmtonrn,3.25653907680491e-05,94.5
22946,nurireme court of the hull,3.25653907680491e-05,94.5
5165,saul hue,3.25653907680491e-05,94.5
8355,meek stace ieoh,3.25653907680491e-05,94.5
11948,lois ian,3.25653907680491e-05,94.5
957,k k luouutss,3.25653907680491e-05,94.5
7731,franklin merel,3.25653907680491e-05,94.5
32354,lulu inrelbalu,3.25653907680491e-05,94.5
15869,diane luft,3.25653907680491e-05,94.5
6565,kim street,3.25653907680491e-05,94.5
18754,krijncull scott h ti,3.25653907680491e-05,94.5
2190,delanie ho,3.25653907680491e-05,94.5
12506,viii keglnnlnx,3.25653907680491e-05,94.5
18111,york iii,3.25653907680491e-05,94.5
15577,asvisnient reid,3.25653907680491e-05,94.5
5572,mai ion,3.25653907680491e-05,94.5
